Code,Occupation,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating,Skill Level
111111,Chief Executive or Managing Director,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
111211,Corporate General Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121111,Aquaculture Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121311,Apiarist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121312,Beef Cattle Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
121313,Dairy Cattle Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121314,Deer Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121315,Goat Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121316,Horse Breeder,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121318,Pig Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121321,Poultry Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121322,Sheep Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121323,Mixed Cattle and Sheep Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121399,Livestock Farmers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121511,Cotton Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower",No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,1
121513,Sugar Cane Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121599,Broadacre Crop Growers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121611,Flower Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121612,Fruit Grower,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,1
121613,Nut Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121614,Production Nursery Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121615,Turf Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121616,Vegetable Grower,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,1
121617,Wine Grape Grower,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121699,Horticultural Crop Growers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121711,Broadacre Crop and Livestock Farmer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
121799,Mixed Production Farmers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
131112,Sales and Marketing Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
131113,Advertising Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
131114,Public Relations Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
132111,Corporate Services Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
132211,Finance Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
132311,Human Resource Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
132411,Policy and Planning Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
132511,Research and Development Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
133111,Construction Project Manager,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
133112,Project Builder,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,Shortage,No shortage,1
133211,Engineering Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133311,Importer or Exporter,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133312,Wholesaler,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133411,Manufacturer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133511,Production Manager (Forestry),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133512,Production Manager (Manufacturing),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133513,Production Manager (Mining),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
133611,Supply and Distribution Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
133612,Procurement Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134111,Child Care Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,Shortage,No shortage,1
134211,Medical Administrator / Medical Superintendent,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134212,Nursing Clinical Director,No shortage,No shortage,No shortage,No shortage,Regional shortage,Shortage,No shortage,No shortage,No shortage,1
134213,Primary Health Organisation Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134214,Welfare Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134299,Health and Welfare Services Managers nec,No shortage,No shortage,Regional shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
134311,School Principal,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134411,Faculty Head,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134412,Regional Education Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
134499,Education Managers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
135111,Chief Information Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
135112,ICT Project Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
135199,ICT Managers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139911,Arts Administrator or Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139912,Environmental Manager,No shortage,No shortage,No shortage,Shortage,No shortage,Shortage,No shortage,No shortage,No shortage,1
139913,Laboratory Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139915,Sports Administrator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139916,Quality Assurance Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139917,Regulatory Affairs Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
139999,Specialist Managers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
141111,Cafe or Restaurant Manager,No shortage,No shortage,No shortage,No shortage,Regional shortage,No shortage,Regional shortage,Shortage,Shortage,2
141211,Caravan Park and Camping Ground Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
141311,Hotel or Motel Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
141411,Licensed Club Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
141911,Bed and Breakfast Operator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
141912,Retirement Village Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
141999,Accommodation and Hospitality Managers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
142111,Retail Manager (General),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Regional shortage,Regional shortage,No shortage,2
142112,Antique Dealer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
142113,Betting Agency Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
142114,Hair or Beauty Salon Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
142115,Post Office Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
142116,Travel Agency Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149111,Amusement Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149112,Fitness Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149113,Sports Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149211,Call or Contact Centre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149212,Customer Service Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,2
149311,Conference and Event Organiser,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149411,Fleet Manager,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,Shortage,No shortage,2
149412,Railway Station Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149413,Transport Company Manager,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,2
149911,Boarding Kennel or Cattery Operator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149912,Cinema or Theatre Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149913,Facilities Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149914,Financial Institution Branch Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149915,Equipment Hire Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
149999,"Hospitality, Retail and Service Managers nec",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
211111,Actor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211112,Dancer or Choreographer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211113,Entertainer or Variety Artist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211199,"Actors, Dancers and Other Entertainers nec",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211211,Composer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211212,Music Director,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211213,Musician (Instrumental),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211214,Singer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211299,Music Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211311,Photographer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
211411,Painter (Visual Arts),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211412,Potter or Ceramic Artist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211413,Sculptor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
211499,Visual Arts and Crafts Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212111,Artistic Director,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212112,Media Producer (excluding Video),No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,1
212113,Radio Presenter,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
