field_of_study,category_key,year,domestic_bachelors,international_bachelors,total_bachelors
Natural and Physical Sciences,1,2016,31530,5110,36640
Natural and Physical Sciences,1,2017,30630,5270,35900
Natural and Physical Sciences,1,2018,30575,5675,36250
Natural and Physical Sciences,1,2019,30565,6100,36665
Natural and Physical Sciences,1,2020,30665,5085,35750
Natural and Physical Sciences,1,2021,33010,5190,38200
Natural and Physical Sciences,1,2022,30950,4825,35775
Natural and Physical Sciences,1,2023,29960,5065,35025
Natural and Physical Sciences,1,2024,29940,4795,34735
Natural and Physical Sciences,1,2025,30750,5630,36380
Information Technology,2,2016,16740,4060,20800
Information Technology,2,2017,15210,4115,19325
Information Technology,2,2018,14965,4545,19505
Information Technology,2,2019,14470,4835,19305
Information Technology,2,2020,13955,4560,18515
Information Technology,2,2021,14270,4810,19075
Information Technology,2,2022,13775,4675,18450
Information Technology,2,2023,14265,5150,19415
Information Technology,2,2024,15250,5515,20765
Information Technology,2,2025,14775,5940,20715
Engineering and Related Technologies,3,2016,5355,1610,6965
Engineering and Related Technologies,3,2017,5455,1655,7110
Engineering and Related Technologies,3,2018,5370,1755,7125
Engineering and Related Technologies,3,2019,5685,1960,7645
Engineering and Related Technologies,3,2020,5585,1740,7325
Engineering and Related Technologies,3,2021,5465,1270,6735
Engineering and Related Technologies,3,2022,4570,985,5560
Engineering and Related Technologies,3,2023,5005,1330,6335
Engineering and Related Technologies,3,2024,5205,1480,6680
Engineering and Related Technologies,3,2025,5050,1565,6620
Architecture and Building,4,2016,2430,645,3080
Architecture and Building,4,2017,2590,625,3215
Architecture and Building,4,2018,2905,695,3600
Architecture and Building,4,2019,3130,775,3900
Architecture and Building,4,2020,3300,660,3960
Architecture and Building,4,2021,3485,675,4160
Architecture and Building,4,2022,3410,600,4010
Architecture and Building,4,2023,3435,610,4045
Architecture and Building,4,2024,3475,605,4080
Architecture and Building,4,2025,3450,810,4260
"Agriculture, Environmental and Related",5,2016,4210,840,5055
"Agriculture, Environmental and Related",5,2017,5060,900,5965
"Agriculture, Environmental and Related",5,2018,4965,865,5835
"Agriculture, Environmental and Related",5,2019,4555,925,5480
"Agriculture, Environmental and Related",5,2020,4995,735,5730
"Agriculture, Environmental and Related",5,2021,5370,745,6120
"Agriculture, Environmental and Related",5,2022,5255,705,5955
"Agriculture, Environmental and Related",5,2023,4770,1000,5770
"Agriculture, Environmental and Related",5,2024,4520,975,5500
"Agriculture, Environmental and Related",5,2025,4790,1345,6135
Health,6,2016,27605,1855,29460
Health,6,2017,27355,1850,29210
Health,6,2018,27490,1905,29395
Health,6,2019,28090,2115,30205
Health,6,2020,28360,1960,30325
Health,6,2021,30285,1680,31965
Health,6,2022,30360,1685,32045
Health,6,2023,29200,1940,31145
Health,6,2024,29705,2290,31995
Health,6,2025,31595,2880,34475
Education,7,2016,12520,805,13325
Education,7,2017,12325,760,13080
Education,7,2018,12280,755,13035
