Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK
"(A) Architecture, building & planning",39225.0,1910.0,5530.0,1590.0,,48255.0
(B) Social studies,173380.0,9690.0,20095.0,4830.0,,208000.0
(C) Law,73425.0,4015.0,8090.0,2075.0,,87605.0
(D) Business & administrative studies,266030.0,19860.0,32640.0,8270.0,,326800.0
(E) Mass communications & documentation,42045.0,2360.0,3360.0,840.0,,48610.0
(F) Languages,90470.0,7590.0,11385.0,1895.0,,111340.0
(G) Historical & philosophical studies,69750.0,4495.0,10565.0,1520.0,,86330.0
(H) Creative arts & design,144610.0,8590.0,11405.0,2325.0,,166930.0
(I) Education,131905.0,12060.0,13680.0,6750.0,,164390.0
(J) Combined,32605.0,5550.0,9190.0,1850.0,,49200.0
01 Medicine & dentistry,52365.0,3850.0,7710.0,2075.0,,66000.0
02 Subjects allied to medicine,226715.0,12600.0,28280.0,7745.0,,275345.0
03 Biological sciences,169900.0,15990.0,21625.0,3845.0,,211360.0
04 Veterinary science,4345.0,,1555.0,,,5900.0
05 Agriculture & related subjects,15355.0,1355.0,1835.0,655.0,,19205.0
06 Physical sciences,75255.0,5680.0,11085.0,1740.0,,93760.0
07 Mathematical sciences,36195.0,1610.0,4040.0,560.0,,42405.0
08 Computer science,73360.0,5360.0,10360.0,4150.0,,93230.0
09 Engineering & technology,127050.0,10400.0,20135.0,3730.0,,161315.0
Total,1844000.0,132965.0,232570.0,56445.0,,2265980.0
Total - Non-science subject areas,1024225.0,74215.0,120410.0,30355.0,,1249205.0
Total - Science subject areas,819775.0,58750.0,112160.0,26090.0,,1016775.0
