Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,categorykey,AcademicYear
03 Biological sciences,167845.0,15150.0,20980.0,3590.0,,207560.0,1,2013/14
07 Mathematical sciences,36330.0,1595.0,3770.0,530.0,,42230.0,1,2013/14
09 Engineering & technology,125925.0,10260.0,19195.0,3630.0,,159010.0,1,2013/14
06 Physical sciences,75165.0,5570.0,10760.0,1820.0,,93320.0,5,2013/14
01 Medicine & dentistry,53440.0,4055.0,7745.0,2085.0,,67325.0,6,2013/14
02 Subjects allied to medicine,224555.0,12515.0,28440.0,7740.0,,273245.0,6,2013/14
05 Agriculture & related subjects,14740.0,1290.0,1750.0,580.0,,18360.0,6,2013/14
04 Veterinary science,4395.0,,1540.0,,,5935.0,9,2013/14
"(A) Architecture, building & planning",40280.0,1940.0,5245.0,1695.0,,49160.0,11,2013/14
(B) Social studies,175820.0,10010.0,19685.0,5065.0,,210585.0,11,2013/14
(C) Law,74715.0,4185.0,8300.0,2030.0,,89230.0,11,2013/14
(D) Business & administrative studies,274290.0,21665.0,32305.0,8335.0,,336600.0,11,2013/14
(E) Mass communications & documentation,42955.0,2400.0,3175.0,990.0,,49525.0,11,2013/14
(F) Languages,95315.0,8090.0,12180.0,2080.0,,117665.0,11,2013/14
(G) Historical & philosophical studies,72660.0,4830.0,10595.0,1530.0,,89620.0,11,2013/14
(H) Creative arts & design,146400.0,9140.0,11175.0,2140.0,,168855.0,11,2013/14
(I) Education,139870.0,13110.0,13275.0,6770.0,,173025.0,11,2013/14
(J) Combined,38220.0,5690.0,10840.0,1890.0,,56635.0,11,2013/14
08 Computer science,72205.0,5640.0,9840.0,3890.0,,91580.0,11,2013/14
Total,1875125.0,137135.0,230805.0,56395.0,,2299460.0,99,2013/14
Total - Non-science subject areas,1060250.0,79120.0,121535.0,30835.0,,1291735.0,99,2013/14
Total - Science subject areas,814875.0,58015.0,109270.0,25565.0,,1007725.0,99,2013/14
03 Biological sciences,169900.0,15990.0,21625.0,3845.0,,211360.0,1,2014/15
07 Mathematical sciences,36195.0,1610.0,4040.0,560.0,,42405.0,1,2014/15
09 Engineering & technology,127050.0,10400.0,20135.0,3730.0,,161315.0,1,2014/15
06 Physical sciences,75255.0,5680.0,11085.0,1740.0,,93760.0,5,2014/15
01 Medicine & dentistry,52365.0,3850.0,7710.0,2075.0,,66000.0,6,2014/15
02 Subjects allied to medicine,226715.0,12600.0,28280.0,7745.0,,275345.0,6,2014/15
05 Agriculture & related subjects,15355.0,1355.0,1835.0,655.0,,19205.0,6,2014/15
04 Veterinary science,4345.0,,1555.0,,,5900.0,9,2014/15
"(A) Architecture, building & planning",39225.0,1910.0,5530.0,1590.0,,48255.0,11,2014/15
(B) Social studies,173380.0,9690.0,20095.0,4830.0,,208000.0,11,2014/15
(C) Law,73425.0,4015.0,8090.0,2075.0,,87605.0,11,2014/15
(D) Business & administrative studies,266030.0,19860.0,32640.0,8270.0,,326800.0,11,2014/15
(E) Mass communications & documentation,42045.0,2360.0,3360.0,840.0,,48610.0,11,2014/15
(F) Languages,90470.0,7590.0,11385.0,1895.0,,111340.0,11,2014/15
(G) Historical & philosophical studies,69750.0,4495.0,10565.0,1520.0,,86330.0,11,2014/15
(H) Creative arts & design,144610.0,8590.0,11405.0,2325.0,,166930.0,11,2014/15
(I) Education,131905.0,12060.0,13680.0,6750.0,,164390.0,11,2014/15
(J) Combined,32605.0,5550.0,9190.0,1850.0,,49200.0,11,2014/15
08 Computer science,73360.0,5360.0,10360.0,4150.0,,93230.0,11,2014/15
Total,1844000.0,132965.0,232570.0,56445.0,,2265980.0,99,2014/15
Total - Non-science subject areas,1024225.0,74215.0,120410.0,30355.0,,1249205.0,99,2014/15
Total - Science subject areas,819775.0,58750.0,112160.0,26090.0,,1016775.0,99,2014/15
03 Biological sciences,176195.0,15465.0,21850.0,3800.0,,217310.0,1,2015/16
