Period,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services
Nov-05,349400,119300,1016900,100800,858900,380700,1163100,673300,496500,232800,374000,185500,701700,346900,612200,730400,1013900,172000,407000
Feb-06,348100,122600,1014100,102500,872300,382500,1162900,668900,498200,233200,378700,187400,713100,347200,616000,734500,1028200,174400,409100
May-06,347100,125900,1012500,104200,886000,384500,1163700,669000,501000,233400,384400,189100,722700,347400,621700,737200,1040500,176800,411600
Aug-06,346400,129100,1012600,106000,900400,386400,1166900,673800,504600,233400,390700,190700,730300,347600,627500,739800,1049200,179100,413800
Nov-06,345900,132300,1015200,107900,914700,388400,1173100,680800,510000,233200,397400,192000,735500,347800,632400,744300,1055900,181300,417600
Feb-07,345700,135600,1021000,109800,925500,390300,1181400,688600,518200,232800,402600,193100,740400,348100,635900,750800,1062200,183500,424400
May-07,345600,139000,1029100,111800,932900,392100,1191800,694800,527800,232200,405500,194000,748500,348300,637200,761100,1068500,185600,434500
Aug-07,345700,142500,1037600,113900,940600,393900,1204100,698900,536900,231400,406700,194500,758900,348700,636800,771800,1075000,187500,445400
Nov-07,345900,146100,1045300,116100,951800,395700,1214900,700700,545600,230500,407300,194900,768900,349300,636700,782200,1082600,189200,454100
Feb-08,346100,150000,1049500,118300,963800,397600,1220100,703000,554500,229500,407200,195000,776800,350200,638400,791100,1091200,190800,457700
May-08,346300,154000,1047300,120500,972500,399400,1220500,706500,564700,228300,406600,194900,780700,351400,643100,799200,1100800,192200,457600
Aug-08,346400,158200,1039400,122700,978300,401200,1217300,710200,574400,227100,405300,194700,782800,353000,650700,803100,1113400,193500,455800
Nov-08,346400,162600,1028300,124900,981900,402900,1212200,713700,582000,225900,403200,194300,784900,355000,658100,803100,1130900,194700,452600
Feb-09,346200,167100,1017100,127000,982900,404600,1205300,718300,585400,224600,401200,193900,786400,357400,664100,803800,1151700,195800,449200
May-09,345600,171900,1007200,129100,981500,406100,1196400,724900,584500,223400,399900,193700,791700,360200,668500,808800,1171500,196800,446500
Aug-09,344800,177000,999600,131100,979700,407600,1187800,731900,580300,222100,399700,193500,802600,363300,671200,815600,1186900,197600,445400
Nov-09,343600,182400,992700,133000,980500,408900,1183300,736800,575800,221000,400100,193600,817000,366700,675700,822200,1198100,198300,446400
Feb-10,342000,188300,986900,134800,984200,410000,1181700,740500,573600,219800,399700,193900,829500,370100,681300,828000,1210300,199100,449000
May-10,340000,194400,981300,136500,988900,410800,1183900,745300,574000,218800,398300,194400,837700,373400,687600,836000,1225600,199800,450700
Aug-10,337700,200900,976700,138100,993900,411500,1189500,750700,574600,217800,398500,195100,843400,376600,693800,842900,1243300,200600,451100
Nov-10,335100,207500,971300,139500,1000300,412000,1196300,757600,575600,217000,401600,195900,847900,379700,700000,845400,1260100,201500,450600
Feb-11,332200,214200,964100,140800,1005000,412400,1200300,763300,575800,216100,407800,196800,852500,382400,706800,845600,1275100,202500,449100
May-11,329200,220800,955900,141900,1007100,412700,1200800,765600,573800,215400,415000,197700,856800,384700,713800,848800,1289600,203400,448200
Aug-11,326300,227100,949100,142900,1004600,412900,1199200,764600,570100,214700,420500,198500,863800,386700,719000,852400,1305300,204300,448400
Nov-11,323500,233000,945900,143700,999300,412900,1197000,762100,565300,214100,423700,199400,873200,388400,720300,856900,1320100,205200,449400
Feb-12,321000,238300,944800,144400,992100,412700,1195600,761300,561800,213500,425000,200300,885100,389700,717400,863500,1332200,206100,450600
May-12,318600,242800,943900,144900,984700,412300,1196400,765400,562600,213000,425000,201100,896600,390800,712300,874200,1342600,206900,450100
Aug-12,316400,246400,942400,145200,980700,411600,1199900,771600,568400,212400,423600,201800,903800,391700,709900,883400,1352400,207700,450000
Nov-12,314600,249000,938900,145500,983500,410500,1205900,777500,577000,211900,422000,202500,906900,392400,713200,889200,1360900,208500,451600
Feb-13,313100,250500,933300,145600,989600,409000,1211900,781700,584000,211300,420800,203300,907200,393100,722100,891900,1368000,209300,454800
May-13,312100,251100,928500,145700,995400,406900,1218000,783600,587500,210800,419900,204100,905800,393800,733400,894100,1373000,210200,459800
Aug-13,311500,250800,926100,145700,1001500,404400,1222900,783100,589300,210300,418200,205000,904700,394700,742900,894500,1377400,211100,466200
Nov-13,311200,249700,925500,145500,1007100,401500,1228300,783200,590300,209900,415200,205900,905900,395700,746100,895700,1382400,212200,473100
Feb-14,311200,247900,924200,145400,1013700,398400,1230600,786400,590900,209600,412100,206900,912500,397000,744100,898100,1386700,213300,479500
May-14,311400,245500,921700,145200,1020200,395100,1230800,792900,592400,209400,409800,207800,924100,398500,739300,903600,1392100,214700,483300
Aug-14,311600,242800,918400,145000,1025600,391800,1230500,802200,595500,209200,408800,208600,938100,400200,735100,908600,1402500,216200,483100
Nov-14,312000,240000,913800,144700,1029800,388600,1231600,811800,599600,209100,409200,209300,954300,402200,732600,912500,1420400,217700,481400
Feb-15,312400,237200,907900,144500,1032100,385500,1233500,819400,604200,209100,411300,209800,971600,404300,731800,917200,1445800,219300,480100
