categorykey,Category,Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK
1,Natural & Physical Science,03 Biological sciences,167845.0,15150.0,20980.0,3590.0,,207560.0
1,Natural & Physical Science,07 Mathematical sciences,36330.0,1595.0,3770.0,530.0,,42230.0
1,Natural & Physical Science,09 Engineering & technology,125925.0,10260.0,19195.0,3630.0,,159010.0
5,Environment & Related,06 Physical sciences,75165.0,5570.0,10760.0,1820.0,,93320.0
6,Health,01 Medicine & dentistry,53440.0,4055.0,7745.0,2085.0,,67325.0
6,Health,02 Subjects allied to medicine,224555.0,12515.0,28440.0,7740.0,,273245.0
6,Health,05 Agriculture & related subjects,14740.0,1290.0,1750.0,580.0,,18360.0
9,Society & Culture,04 Veterinary science,4395.0,,1540.0,,,5935.0
11,Others,"(A) Architecture, building & planning",40280.0,1940.0,5245.0,1695.0,,49160.0
11,Others,(B) Social studies,175820.0,10010.0,19685.0,5065.0,,210585.0
11,Others,(C) Law,74715.0,4185.0,8300.0,2030.0,,89230.0
11,Others,(D) Business & administrative studies,274290.0,21665.0,32305.0,8335.0,,336600.0
11,Others,(E) Mass communications & documentation,42955.0,2400.0,3175.0,990.0,,49525.0
11,Others,(F) Languages,95315.0,8090.0,12180.0,2080.0,,117665.0
11,Others,(G) Historical & philosophical studies,72660.0,4830.0,10595.0,1530.0,,89620.0
11,Others,(H) Creative arts & design,146400.0,9140.0,11175.0,2140.0,,168855.0
11,Others,(I) Education,139870.0,13110.0,13275.0,6770.0,,173025.0
11,Others,(J) Combined,38220.0,5690.0,10840.0,1890.0,,56635.0
11,Others,08 Computer science,72205.0,5640.0,9840.0,3890.0,,91580.0
99,Total,Total,1875125.0,137135.0,230805.0,56395.0,,2299460.0
99,Total,Total - Non-science subject areas,1060250.0,79120.0,121535.0,30835.0,,1291735.0
99,Total,Total - Science subject areas,814875.0,58015.0,109270.0,25565.0,,1007725.0
