category_key,Category,2016,2017,2018,2019,2020,2021,2022,2023,2024
CAT001,Natural & Physical Science,119102,124209,129609,134334,136733,139629,134424,132406,134511
CAT002,Information Technology,66355,80090,99986,116623,120916,116296,119278,143253,164464
CAT003,Engineering & Related Tech,111060,115231,119909,121980,118229,112931,109812,115197,122954
CAT004,Architecture & Building,32074,35604,39459,42370,43478,43773,42327,42174,40942
CAT005,Environment & Related,18537,18260,18055,18747,21916,20776,19476,19284,19376
CAT006,Health,235033,247198,256324,265586,277590,288385,280887,283060,295498
CAT007,Education,128277,128603,126360,127202,135250,141971,136096,137387,153177
CAT008,Management & Commerce,380800,389836,396813,399609,380050,352882,340454,360236,368989
CAT009,Society & Culture,312569,322471,326071,332155,343667,350654,334897,326512,329590
CAT010,Creative Arts,93916,94955,96195,97478,97745,98528,93412,92496,96142
CAT011,Others,34729,34930,34128,35058,29164,20676,21363,26127,28530
CAT012,Total,1457209,1513383,1562520,1609798,1622867,1602573,1551411,1600563,1676077
