FundingCluster,E312of27,FOE,2020MaximumStudentContibution,2020CommonwealthContribution
Funding Cluster 3,,90701,6684,10821
Funding Cluster 5,27,90701,6684,13308
Funding Cluster 1,,80100,11155,2198
Funding Cluster 1,,80101,11155,2198
Funding Cluster 1,,80300,11155,2198
Funding Cluster 1,,80301,11155,2198
Funding Cluster 1,,80303,11155,2198
Funding Cluster 1,,80305,11155,2198
Funding Cluster 1,,80307,11155,2198
Funding Cluster 1,,80309,11155,2198
Funding Cluster 1,,80311,11155,2198
Funding Cluster 1,,80313,11155,2198
Funding Cluster 1,,80315,11155,2198
Funding Cluster 1,,80317,11155,2198
Funding Cluster 1,,80319,11155,2198
Funding Cluster 1,,80321,11155,2198
Funding Cluster 1,,80323,11155,2198
Funding Cluster 1,,80399,11155,2198
Funding Cluster 1,,80500,11155,2198
Funding Cluster 1,,80501,11155,2198
Funding Cluster 1,,80503,11155,2198
Funding Cluster 1,,80505,11155,2198
Funding Cluster 1,,80507,11155,2198
Funding Cluster 1,,80509,11155,2198
Funding Cluster 1,,80599,11155,2198
Funding Cluster 1,,80700,11155,2198
Funding Cluster 1,,80701,11155,2198
Funding Cluster 1,,80900,11155,2198
Funding Cluster 1,,80901,11155,2198
Funding Cluster 1,,80903,11155,2198
Funding Cluster 1,,80905,11155,2198
Funding Cluster 1,,80999,11155,2198
Funding Cluster 1,,81100,11155,2198
Funding Cluster 1,,81101,11155,2198
Funding Cluster 1,,81103,11155,2198
Funding Cluster 1,,81105,11155,2198
Funding Cluster 1,,81199,11155,2198
Funding Cluster 1,,89900,11155,2198
Funding Cluster 1,,89901,11155,2198
Funding Cluster 1,,89903,11155,2198
Funding Cluster 1,,89999,11155,2198
Funding Cluster 1,,90900,11155,2198
Funding Cluster 1,,90901,11155,2198
Funding Cluster 1,,90903,11155,2198
Funding Cluster 1,,90905,11155,2198
Funding Cluster 1,,90907,11155,2198
Funding Cluster 1,,90909,11155,2198
Funding Cluster 1,,90911,11155,2198
Funding Cluster 1,,90913,11155,2198
Funding Cluster 1,,90999,11155,2198
Funding Cluster 1,,91900,11155,2198
Funding Cluster 1,,91901,11155,2198
Funding Cluster 1,,91903,11155,2198
Funding Cluster 1,,110100,11155,2198
Funding Cluster 1,,110101,11155,2198
Funding Cluster 1,,110103,11155,2198
Funding Cluster 1,,110105,11155,2198
Funding Cluster 1,,110107,11155,2198
Funding Cluster 1,,110109,11155,2198
Funding Cluster 1,,110111,11155,2198
Funding Cluster 1,,110199,11155,2198
Funding Cluster 1,,110300,11155,2198
Funding Cluster 1,,110301,11155,2198
Funding Cluster 1,,110303,11155,2198
Funding Cluster 1,,110399,11155,2198
Funding Cluster 1,,120100,11155,2198
Funding Cluster 1,,120101,11155,2198
Funding Cluster 1,,120103,11155,2198
Funding Cluster 1,,120105,11155,2198
Funding Cluster 1,,120199,11155,2198
Funding Cluster 1,,129900,11155,2198
Funding Cluster 1,,129999,11155,2198
Funding Cluster 2,,90305,6684,6116
Funding Cluster 2,,90307,6684,6116
Funding Cluster 2,,90311,6684,6116
Funding Cluster 2,,91100,6684,6116
Funding Cluster 2,,91101,6684,6116
Funding Cluster 2,,91103,6684,6116
Funding Cluster 2,,91105,6684,6116
Funding Cluster 2,,91199,6684,6116
Funding Cluster 2,,91500,6684,6116
Funding Cluster 2,,91501,6684,6116
Funding Cluster 2,,91521,6684,6116
Funding Cluster 2,,91523,6684,6116
Funding Cluster 2,,91599,6684,6116
Funding Cluster 2,,91700,6684,6116
Funding Cluster 2,,91701,6684,6116
Funding Cluster 2,,91703,6684,6116
Funding Cluster 3,,10100,9527,10821
Funding Cluster 3,,10101,9527,10821
Funding Cluster 3,,10103,9527,10821
Funding Cluster 3,,10199,9527,10821
Funding Cluster 3,,20100,9527,10821
Funding Cluster 3,,20101,9527,10821
Funding Cluster 3,,20103,9527,10821
Funding Cluster 3,,20105,9527,10821
Funding Cluster 3,,20107,9527,10821
Funding Cluster 3,,20109,9527,10821
Funding Cluster 3,,20111,9527,10821
Funding Cluster 3,,20113,9527,10821
Funding Cluster 3,,20115,9527,10821
Funding Cluster 3,,20117,9527,10821
Funding Cluster 3,,20119,9527,10821
Funding Cluster 3,,20199,9527,10821
Funding Cluster 3,,20300,9527,10821
Funding Cluster 3,,20301,9527,10821
Funding Cluster 3,,20303,9527,10821
Funding Cluster 3,,20305,9527,10821
Funding Cluster 3,,20307,9527,10821
Funding Cluster 3,,20399,9527,10821
Funding Cluster 3,,29900,9527,10821
Funding Cluster 3,,29901,9527,10821
Funding Cluster 3,,29999,9527,10821
Funding Cluster 3,,40100,9527,10821
Funding Cluster 3,,40101,9527,10821
Funding Cluster 3,,40103,9527,10821
Funding Cluster 3,,40105,9527,10821
Funding Cluster 3,,40107,9527,10821
Funding Cluster 3,,40199,9527,10821
Funding Cluster 3,,40300,9527,10821
Funding Cluster 3,,40301,9527,10821
Funding Cluster 3,,40303,9527,10821
Funding Cluster 3,,40305,9527,10821
Funding Cluster 3,,40307,9527,10821
Funding Cluster 3,,40309,9527,10821
Funding Cluster 3,,40311,9527,10821
Funding Cluster 3,,40313,9527,10821
Funding Cluster 3,,40315,9527,10821
Funding Cluster 3,,40317,9527,10821
Funding Cluster 3,,40319,9527,10821
Funding Cluster 3,,40321,9527,10821
Funding Cluster 3,,40323,9527,10821
Funding Cluster 3,,40325,9527,10821
Funding Cluster 3,,40327,9527,10821
Funding Cluster 3,,40329,9527,10821
Funding Cluster 3,,40399,9527,10821
Funding Cluster 3,,61300,9527,10821
Funding Cluster 3,,61301,9527,10821
Funding Cluster 3,,61303,9527,10821
Funding Cluster 3,,61307,9527,10821
Funding Cluster 3,,61309,9527,10821
Funding Cluster 3,,61311,9527,10821
Funding Cluster 3,,61399,9527,10821
Funding Cluster 3,,61700,9527,10821
Funding Cluster 3,,61711,9527,10821
Funding Cluster 3,,61799,9527,10821
Funding Cluster 3,,61900,9527,10821
Funding Cluster 3,,61901,9527,10821
Funding Cluster 3,,61903,9527,10821
Funding Cluster 3,,61905,9527,10821
Funding Cluster 3,,61999,9527,10821
Funding Cluster 3,,69900,9527,10821
Funding Cluster 3,,69903,6684,10821
Funding Cluster 3,,69907,9527,10821
Funding Cluster 3,,69999,9527,10821
Funding Cluster 3,,90100,6684,10821
Funding Cluster 3,,90101,6684,10821
Funding Cluster 3,,90103,6684,10821
Funding Cluster 3,,90300,6684,10821
Funding Cluster 3,,90301,6684,10821
